Numéro tarifaire,Position du Système harmonisé (SH),Description indicative
4203.10.00,Vêtements et accessoires du vêtement en cuir naturel ou reconstitué.,Vêtements
4203.21.00,Vêtements et accessoires du vêtement en cuir naturel ou reconstitué.,"Gants, mitaines et moufles : Spécialement conçus pour la pratique de sports"
4203.29.10,Vêtements et accessoires du vêtement en cuir naturel ou reconstitué.,"Gants, mitaines et moufles : AutresGants de chèvre (y compris le chevreau) et/ou de mouton à poils"
4203.29.90,Vêtements et accessoires du vêtement en cuir naturel ou reconstitué.,"Gants, mitaines et moufles : AutresAutres"
4203.30.00,Vêtements et accessoires du vêtement en cuir naturel ou reconstitué.,"Ceintures, ceinturons et baudriers"
4203.40.00,Vêtements et accessoires du vêtement en cuir naturel ou reconstitué.,Autres accessoires du vêtement
4205.00.00,Autres ouvrages en cuir naturel ou reconstitué.,
4206.00.10,"Ouvrages en boyaux, en baudruches, en vessies ou en tendons.",Cordes en boyaux
4206.00.90,"Ouvrages en boyaux, en baudruches, en vessies ou en tendons.",Autres
4407.11.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",De conifères : De pin (Pinus spp.)
4407.12.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",De conifères : De sapin (Abies spp.) et d'épicéa (Picea spp.)
4407.13.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.","De conifères : De E-P-S (épicéa (Picea spp.), pin (Pinus spp.) et sapin (Abies spp.))"
4407.14.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",De conifères : De Hem-fir (hemlock de l'Ouest (Tsuga heterophylla) et sapin (Abies spp.))
4407.19.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",De conifères : Autres
4407.21.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",De bois tropicaux : Mahogany (Swietenia spp.)
4407.22.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.","De bois tropicaux : Virola, Imbuia et Balsa"
4407.23.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",De bois tropicaux : TeakTeak
4407.25.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.","De bois tropicaux : Dark Red Meranti, Light Red Meranti et Meranti Bakau"
4407.26.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.","De bois tropicaux : White Lauan, White Meranti, White Seraya, Yellow Meranti et Alan"
4407.27.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",De bois tropicaux : Sapelli
4407.28.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",De bois tropicaux : Iroko
4407.29.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",De bois tropicaux : Autres
4407.91.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",Autres : De chêne (Quercus spp.)
4407.92.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",Autres : De hêtre (Fagus spp.)
4407.93.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",Autres : D'érable (Acer spp.)
4407.94.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",Autres : De cerisier (Prunus spp.)
4407.95.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",Autres : De frêne (Fraxinus spp.)
4407.96.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",Autres : De bouleau (Betula spp.)
4407.97.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",Autres : De peuplier (Populus spp.)
4407.99.00,"Bois sciés ou dédossés longitudinalement, tranchés ou déroulés, même rabotés, poncés ou collés par assemblage en bout, d'une épaisseur excédant 6 mm.",Autres : Autres
4408.10.00,"Feuilles pour placage (y compris celles obtenues par tranchage de bois stratifié), feuilles pour contre-plaqués ou pour bois stratifiés similaires et autres bois, sciés longitudinalement, tranchés ou déroulés, même rabotés, poncés, assemblés bord à bord ou en bout, d'une épaisseur n'excédant pas 6 mm.",De conifères
4408.31.00,"Feuilles pour placage (y compris celles obtenues par tranchage de bois stratifié), feuilles pour contre-plaqués ou pour bois stratifiés similaires et autres bois, sciés longitudinalement, tranchés ou déroulés, même rabotés, poncés, assemblés bord à bord ou en bout, d'une épaisseur n'excédant pas 6 mm.","De bois tropicaux : Dark Red Meranti, Light Red Meranti et Meranti Bakau"
4408.39.00,"Feuilles pour placage (y compris celles obtenues par tranchage de bois stratifié), feuilles pour contre-plaqués ou pour bois stratifiés similaires et autres bois, sciés longitudinalement, tranchés ou déroulés, même rabotés, poncés, assemblés bord à bord ou en bout, d'une épaisseur n'excédant pas 6 mm.",De bois tropicaux : Autres
4408.90.00,"Feuilles pour placage (y compris celles obtenues par tranchage de bois stratifié), feuilles pour contre-plaqués ou pour bois stratifiés similaires et autres bois, sciés longitudinalement, tranchés ou déroulés, même rabotés, poncés, assemblés bord à bord ou en bout, d'une épaisseur n'excédant pas 6 mm.",Autres
4409.10.00,"Bois (y compris les lames et frises à parquet, non assemblées) profilés (languetés, rainés, bouvetés, feuillurés, chanfreinés, joints en V, moulurés, arrondis ou similaires) tout au long d'une ou de plusieurs rives, faces ou bouts, même rabotés, poncés ou collés par assemblage en bout.",De conifères
4409.21.00,"Bois (y compris les lames et frises à parquet, non assemblées) profilés (languetés, rainés, bouvetés, feuillurés, chanfreinés, joints en V, moulurés, arrondis ou similaires) tout au long d'une ou de plusieurs rives, faces ou bouts, même rabotés, poncés ou collés par assemblage en bout.",Autres que de conifères : En bambou
4409.22.00,"Bois (y compris les lames et frises à parquet, non assemblées) profilés (languetés, rainés, bouvetés, feuillurés, chanfreinés, joints en V, moulurés, arrondis ou similaires) tout au long d'une ou de plusieurs rives, faces ou bouts, même rabotés, poncés ou collés par assemblage en bout.",Autres que de conifères : De bois tropicaux
4409.29.10,"Bois (y compris les lames et frises à parquet, non assemblées) profilés (languetés, rainés, bouvetés, feuillurés, chanfreinés, joints en V, moulurés, arrondis ou similaires) tout au long d'une ou de plusieurs rives, faces ou bouts, même rabotés, poncés ou collés par assemblage en bout.",Autres que de conifères : AutresParquets en chêne (Quercus spp.)
4409.29.90,"Bois (y compris les lames et frises à parquet, non assemblées) profilés (languetés, rainés, bouvetés, feuillurés, chanfreinés, joints en V, moulurés, arrondis ou similaires) tout au long d'une ou de plusieurs rives, faces ou bouts, même rabotés, poncés ou collés par assemblage en bout.",Autres que de conifères : AutresAutres
4410.11.00,"Panneaux de particules, panneaux dits « oriented strand board » (OSB) et panneaux similaires (par exemple « waferboards »), en bois ou en autres matières ligneuses, même agglomérées avec des résines ou d'autres liants organiques.",De bois : Panneaux de particules
4410.12.00,"Panneaux de particules, panneaux dits « oriented strand board » (OSB) et panneaux similaires (par exemple « waferboards »), en bois ou en autres matières ligneuses, même agglomérées avec des résines ou d'autres liants organiques.",De bois : Panneaux dits « oriented strand board » (OSB)
4410.19.00,"Panneaux de particules, panneaux dits « oriented strand board » (OSB) et panneaux similaires (par exemple « waferboards »), en bois ou en autres matières ligneuses, même agglomérées avec des résines ou d'autres liants organiques.",De bois : Autres
4410.90.00,"Panneaux de particules, panneaux dits « oriented strand board » (OSB) et panneaux similaires (par exemple « waferboards »), en bois ou en autres matières ligneuses, même agglomérées avec des résines ou d'autres liants organiques.",Autres
4411.12.00,"Panneaux de fibres de bois ou d'autres matières ligneuses, même agglomérées avec des résines ou d'autres liants organiques.",Panneaux de densité moyenne (dits « MDF ») : D'une épaisseur n'excédant pas 5 mm
4411.13.00,"Panneaux de fibres de bois ou d'autres matières ligneuses, même agglomérées avec des résines ou d'autres liants organiques.",Panneaux de densité moyenne (dits « MDF ») : D'une épaisseur excédant 5 mm mais n'excédant pas 9 mm
4411.14.00,"Panneaux de fibres de bois ou d'autres matières ligneuses, même agglomérées avec des résines ou d'autres liants organiques.",Panneaux de densité moyenne (dits « MDF ») : D'une épaisseur excédant 9 mm
4411.92.10,"Panneaux de fibres de bois ou d'autres matières ligneuses, même agglomérées avec des résines ou d'autres liants organiques.","Autres : D'une masse volumique excédant 0,8 g/cm³Non ouvrés mécaniquement ni recouverts en surface; Imprégnés de résine, renfermant au moins 17 % en poids de résine de phénol-formaldéhyde, devant servir à la fabrication de contre-plaqués recouverts ou de panneaux de particules recouverts"
4411.92.90,"Panneaux de fibres de bois ou d'autres matières ligneuses, même agglomérées avec des résines ou d'autres liants organiques.","Autres : D'une masse volumique excédant 0,8 g/cm³Autres"
4411.93.00,"Panneaux de fibres de bois ou d'autres matières ligneuses, même agglomérées avec des résines ou d'autres liants organiques.","Autres : D'une masse volumique excédant 0,5 g/cm³ mais n'excédant pas 0,8 g/cm³"
4411.94.00,"Panneaux de fibres de bois ou d'autres matières ligneuses, même agglomérées avec des résines ou d'autres liants organiques.","Autres : D'une masse volumique n'excédant pas 0,5 g/cm³"
4412.10.00,"Bois contre-plaqués, bois plaqués et bois stratifiés similaires.",En bambou
4412.31.00,"Bois contre-plaqués, bois plaqués et bois stratifiés similaires.","Autres bois contre-plaqués, constitués exclusivement de feuilles de bois (autres que bambou) dont chacune a une épaisseur n'excédant pas 6 mm : Ayant au moins un pli extérieur en bois tropicaux"
4412.33.00,"Bois contre-plaqués, bois plaqués et bois stratifiés similaires.","Autres bois contre-plaqués, constitués exclusivement de feuilles de bois (autres que bambou) dont chacune a une épaisseur n'excédant pas 6 mm : Autres, ayant au moins un pli extérieur en bois autre que de conifères, des espèces aulne (Alnus spp.), frêne (Fraxinus spp.), hêtre (Fagus spp.), bouleau (Betula spp.), ceriser (Prunus spp.), châtaignier (Castanea spp.), orme (Ulmus spp.), eucalyptus (Eucalyptus spp.), caryer (Carya spp.), marronnier (Aesculus spp.), tilleul (Tilia spp.), érable (Acer spp.), chêne (Quercus spp.), platane (Platanus spp.), peuplier (Populus spp.), robinier (Robinia spp.), tulipier (Liriodendron spp.) ou noyer (Juglans spp.)"
4412.34.00,"Bois contre-plaqués, bois plaqués et bois stratifiés similaires.","Autres bois contre-plaqués, constitués exclusivement de feuilles de bois (autres que bambou) dont chacune a une épaisseur n'excédant pas 6 mm : Autres, ayant au moins un pli extérieur en bois autre que de conifères non dénommés dans le no 4412,33"
4412.39.00,"Bois contre-plaqués, bois plaqués et bois stratifiés similaires.","Autres bois contre-plaqués, constitués exclusivement de feuilles de bois (autres que bambou) dont chacune a une épaisseur n'excédant pas 6 mm : Autres, ayant les deux plis extérieurs en bois de conifères"
4412.41.00,"Bois contre-plaqués, bois plaqués et bois stratifiés similaires.",Bois de placage stratifié (lamibois (LVL)) : Ayant au moins un pli extérieur en bois tropicaux
4412.42.00,"Bois contre-plaqués, bois plaqués et bois stratifiés similaires.","Bois de placage stratifié (lamibois (LVL)) : Autres, ayant au moins un pli extérieur en bois autres que de conifères"
4412.49.00,"Bois contre-plaqués, bois plaqués et bois stratifiés similaires.","Bois de placage stratifié (lamibois (LVL)) : Autres, ayant les deux plis extérieurs en bois de conifères"
4412.51.00,"Bois contre-plaqués, bois plaqués et bois stratifiés similaires.","À âme panneautée, lattée ou lamellée : Ayant au moins un pli extérieur en bois tropicauxAyant au moins un pli extérieur en bois tropicaux"
4412.52.00,"Bois contre-plaqués, bois plaqués et bois stratifiés similaires.","À âme panneautée, lattée ou lamellée : Autres, ayant au moins un pli extérieur en bois autres que de conifères"
4412.59.00,"Bois contre-plaqués, bois plaqués et bois stratifiés similaires.","À âme panneautée, lattée ou lamellée : Autres, ayant les deux plis extérieurs en bois de conifères"
4412.91.00,"Bois contre-plaqués, bois plaqués et bois stratifiés similaires.",Autres : Ayant au moins un pli extérieur en bois tropicaux
4412.92.00,"Bois contre-plaqués, bois plaqués et bois stratifiés similaires.","Autres : Autres, ayant au moins un pli extérieur en bois autres que de conifères"
4412.99.00,"Bois contre-plaqués, bois plaqués et bois stratifiés similaires.","Autres : Autres, ayant les deux plis extérieurs de bois de conifères"
4418.11.10,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.","Fenêtres, portes-fenêtres et leurs cadres et chambranles : En bois tropicauxEncadrements de fenêtres"
4418.11.90,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.","Fenêtres, portes-fenêtres et leurs cadres et chambranles : En bois tropicauxAutres"
4418.19.10,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.","Fenêtres, portes-fenêtres et leurs cadres et chambranles : AutresEncadrements de fenêtres"
4418.19.90,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.","Fenêtres, portes-fenêtres et leurs cadres et chambranles : AutresAutres"
4418.21.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.","Portes et leurs cadres, chambranles et seuils : En bois tropicauxEn bois tropicaux"
4418.29.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.","Portes et leurs cadres, chambranles et seuils : AutresAutres"
4418.30.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.","Poteaux et poutres autres que les produits des n°s 4418,81 à 4418,89"
4418.40.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.",Coffrages pour le bétonnage
4418.50.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.",Bardeaux (« shingles » et « shakes »)
4418.73.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.",Panneaux assemblés pour revêtement de sol : En bambou ou ayant au moins la couche supérieure en bambou
4418.74.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.","Panneaux assemblés pour revêtement de sol : Autres, pour sols mosaïques"
4418.75.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.","Panneaux assemblés pour revêtement de sol : Autres, multicouches"
4418.79.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.",Panneaux assemblés pour revêtement de sol : Autres
4418.81.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.",Bois d'ingénierie structural : Bois lamellé-collé (BLC)Bois lamellé-collé (BLC)
4418.82.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.",Bois d'ingénierie structural : Bois lamellé croisé (CLT ou X-lam)Bois lamellé croisé (CLT ou X-lam)
4418.83.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.",Bois d'ingénierie structural : Poutres en IPoutres en I
4418.89.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.",Bois d'ingénierie structural : AutresAutres
4418.91.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.",Autres : En bambou
4418.92.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.",Autres : Panneaux cellulaires en bois
4418.99.00,"Ouvrages de menuiserie et pièces de charpente pour construction, y compris les panneaux cellulaires, les panneaux assemblés pour revêtement de sol et les bardeaux (« shingles » et « shakes »), en bois.",Autres : Autres
4701.00.00,Pâtes mécaniques de bois.,
4702.00.00,"Pâtes chimiques de bois, à dissoudre.",
4817.10.00,"Enveloppes, cartes-lettres, cartes postales non illustrées et cartes pour correspondance, en papier ou carton; boîtes, pochettes et présentations similaires, en papier ou carton, renfermant un assortiment d'articles de correspondance.",Enveloppes
4818.10.00,"Papiers des types utilisés pour papiers de toilette et pour papiers similaires, ouate de cellulose ou nappes de fibres de cellulose, des types utilisés à des fins domestiques ou sanitaires, en rouleaux d'une largeur n'excédant pas 36 cm, ou coupés à format; mouchoirs, serviettes à démaquiller, essuie-mains, nappes, serviettes de table, draps de lit et articles similaires à usages domestiques, de toilette, hygiénique ou hospitaliers, vêtements et accessoires du vêtement, en pâte à papier, papier, ouate de cellulose ou nappes de fibres de cellulose.",Papier hygiénique
4818.20.00,"Papiers des types utilisés pour papiers de toilette et pour papiers similaires, ouate de cellulose ou nappes de fibres de cellulose, des types utilisés à des fins domestiques ou sanitaires, en rouleaux d'une largeur n'excédant pas 36 cm, ou coupés à format; mouchoirs, serviettes à démaquiller, essuie-mains, nappes, serviettes de table, draps de lit et articles similaires à usages domestiques, de toilette, hygiénique ou hospitaliers, vêtements et accessoires du vêtement, en pâte à papier, papier, ouate de cellulose ou nappes de fibres de cellulose.","Mouchoirs, serviettes à démaquiller et essuie-mains"
4818.30.00,"Papiers des types utilisés pour papiers de toilette et pour papiers similaires, ouate de cellulose ou nappes de fibres de cellulose, des types utilisés à des fins domestiques ou sanitaires, en rouleaux d'une largeur n'excédant pas 36 cm, ou coupés à format; mouchoirs, serviettes à démaquiller, essuie-mains, nappes, serviettes de table, draps de lit et articles similaires à usages domestiques, de toilette, hygiénique ou hospitaliers, vêtements et accessoires du vêtement, en pâte à papier, papier, ouate de cellulose ou nappes de fibres de cellulose.",Nappes et serviettes de table
4818.90.00,"Papiers des types utilisés pour papiers de toilette et pour papiers similaires, ouate de cellulose ou nappes de fibres de cellulose, des types utilisés à des fins domestiques ou sanitaires, en rouleaux d'une largeur n'excédant pas 36 cm, ou coupés à format; mouchoirs, serviettes à démaquiller, essuie-mains, nappes, serviettes de table, draps de lit et articles similaires à usages domestiques, de toilette, hygiénique ou hospitaliers, vêtements et accessoires du vêtement, en pâte à papier, papier, ouate de cellulose ou nappes de fibres de cellulose.",Autres
4819.10.00,"Boîtes, sacs, pochettes, cornets et autres emballages en papier, carton, ouate de cellulose ou nappes de fibres de cellulose; cartonnages de bureau, de magasin ou similaires.",Boîtes et caisses en papier ou carton ondulé
4819.20.00,"Boîtes, sacs, pochettes, cornets et autres emballages en papier, carton, ouate de cellulose ou nappes de fibres de cellulose; cartonnages de bureau, de magasin ou similaires.","Boîtes et cartonnages, pliants, en papier ou carton non ondulé"
4819.30.00,"Boîtes, sacs, pochettes, cornets et autres emballages en papier, carton, ouate de cellulose ou nappes de fibres de cellulose; cartonnages de bureau, de magasin ou similaires.",Sacs d'une largeur à la base de 40 cm ou plus
4819.40.00,"Boîtes, sacs, pochettes, cornets et autres emballages en papier, carton, ouate de cellulose ou nappes de fibres de cellulose; cartonnages de bureau, de magasin ou similaires.","Autres sacs; sachets, pochettes (autres que celles pour disques) et cornets"
4820.10.00,"Registres, livres comptables, carnets (de notes, de commandes, de quittances), agendas, blocs-mémorandums, blocs de papier à lettres et ouvrages similaires, cahiers, sous-main, classeurs, reliures (à feuillets mobiles ou autres), chemises et couvertures à dossiers et autres articles scolaires, de bureau ou de papeterie, y compris les liasses et carnets manifold, même comportant des feuilles de papier carbone, en papier ou carton; albums pour échantillonnages ou pour collections et couvertures pour livres, en papier ou carton.","Registres, livres comptables, carnets (de notes, de commandes, de quittances), blocs-mémorandums, blocs de papier à lettres, agendas et ouvrages similaires"
4820.20.00,"Registres, livres comptables, carnets (de notes, de commandes, de quittances), agendas, blocs-mémorandums, blocs de papier à lettres et ouvrages similaires, cahiers, sous-main, classeurs, reliures (à feuillets mobiles ou autres), chemises et couvertures à dossiers et autres articles scolaires, de bureau ou de papeterie, y compris les liasses et carnets manifold, même comportant des feuilles de papier carbone, en papier ou carton; albums pour échantillonnages ou pour collections et couvertures pour livres, en papier ou carton.",Cahiers
4820.30.00,"Registres, livres comptables, carnets (de notes, de commandes, de quittances), agendas, blocs-mémorandums, blocs de papier à lettres et ouvrages similaires, cahiers, sous-main, classeurs, reliures (à feuillets mobiles ou autres), chemises et couvertures à dossiers et autres articles scolaires, de bureau ou de papeterie, y compris les liasses et carnets manifold, même comportant des feuilles de papier carbone, en papier ou carton; albums pour échantillonnages ou pour collections et couvertures pour livres, en papier ou carton.","Classeurs, reliures (autres que les couvertures pour livres), chemises et couvertures à dossiers"
4820.40.00,"Registres, livres comptables, carnets (de notes, de commandes, de quittances), agendas, blocs-mémorandums, blocs de papier à lettres et ouvrages similaires, cahiers, sous-main, classeurs, reliures (à feuillets mobiles ou autres), chemises et couvertures à dossiers et autres articles scolaires, de bureau ou de papeterie, y compris les liasses et carnets manifold, même comportant des feuilles de papier carbone, en papier ou carton; albums pour échantillonnages ou pour collections et couvertures pour livres, en papier ou carton.","Liasses et carnets manifold, même comportant des feuilles de papier carbone"
4820.50.00,"Registres, livres comptables, carnets (de notes, de commandes, de quittances), agendas, blocs-mémorandums, blocs de papier à lettres et ouvrages similaires, cahiers, sous-main, classeurs, reliures (à feuillets mobiles ou autres), chemises et couvertures à dossiers et autres articles scolaires, de bureau ou de papeterie, y compris les liasses et carnets manifold, même comportant des feuilles de papier carbone, en papier ou carton; albums pour échantillonnages ou pour collections et couvertures pour livres, en papier ou carton.",Albums pour échantillonnages ou pour collections
4820.90.00,"Registres, livres comptables, carnets (de notes, de commandes, de quittances), agendas, blocs-mémorandums, blocs de papier à lettres et ouvrages similaires, cahiers, sous-main, classeurs, reliures (à feuillets mobiles ou autres), chemises et couvertures à dossiers et autres articles scolaires, de bureau ou de papeterie, y compris les liasses et carnets manifold, même comportant des feuilles de papier carbone, en papier ou carton; albums pour échantillonnages ou pour collections et couvertures pour livres, en papier ou carton.",Autres
4823.69.00,"Autres papiers, cartons, ouate de cellulose et nappes de fibres de cellulose découpés à format; autres ouvrages en pâte à papier, papier, carton, ouate de cellulose ou nappes de fibres de cellulose.","Plateaux, plats, assiettes, tasses, gobelets et articles similaires, en papier ou carton : Autres"
4911.10.00,"Autres imprimés, y compris les images, les gravures et les photographies.","Imprimés publicitaires, catalogues commerciaux et similaires"
4911.91.00,"Autres imprimés, y compris les images, les gravures et les photographies.","Autres : Images, gravures et photographies"
4911.99.00,"Autres imprimés, y compris les images, les gravures et les photographies.",Autres : Autres
5701.10.10,"Tapis en matières textiles, à points noués ou enroulés, même confectionnés.",De laine ou de poils finsNoués à la machine
5701.10.90,"Tapis en matières textiles, à points noués ou enroulés, même confectionnés.",De laine ou de poils finsAutres
5701.90.10,"Tapis en matières textiles, à points noués ou enroulés, même confectionnés.",D'autres matières textilesNoués à la machine
5701.90.90,"Tapis en matières textiles, à points noués ou enroulés, même confectionnés.",D'autres matières textilesAutres
5702.10.00,"Tapis et autres revêtements de sol en matières textiles, tissés, non touffetés ni floqués, même confectionnés, y compris les tapis dits « Kelim » ou « Kilim », « Schumacks » ou « Soumak », « Karamanie » et tapis similaires tissés à la main.","Tapis dits « Kelim » ou « Kilim », « Schumacks » ou « Soumak », « Karamanie » et tapis similaires tissés à la main"
5702.20.00,"Tapis et autres revêtements de sol en matières textiles, tissés, non touffetés ni floqués, même confectionnés, y compris les tapis dits « Kelim » ou « Kilim », « Schumacks » ou « Soumak », « Karamanie » et tapis similaires tissés à la main.",Revêtements de sol en coco
5702.31.00,"Tapis et autres revêtements de sol en matières textiles, tissés, non touffetés ni floqués, même confectionnés, y compris les tapis dits « Kelim » ou « Kilim », « Schumacks » ou « Soumak », « Karamanie » et tapis similaires tissés à la main.","Autres, à velours, non confectionnés : De laine ou de poils fins"
5702.32.00,"Tapis et autres revêtements de sol en matières textiles, tissés, non touffetés ni floqués, même confectionnés, y compris les tapis dits « Kelim » ou « Kilim », « Schumacks » ou « Soumak », « Karamanie » et tapis similaires tissés à la main.","Autres, à velours, non confectionnés : De matières textiles synthétiques ou artificielles"
5702.39.00,"Tapis et autres revêtements de sol en matières textiles, tissés, non touffetés ni floqués, même confectionnés, y compris les tapis dits « Kelim » ou « Kilim », « Schumacks » ou « Soumak », « Karamanie » et tapis similaires tissés à la main.","Autres, à velours, non confectionnés : D'autres matières textiles"
5702.41.00,"Tapis et autres revêtements de sol en matières textiles, tissés, non touffetés ni floqués, même confectionnés, y compris les tapis dits « Kelim » ou « Kilim », « Schumacks » ou « Soumak », « Karamanie » et tapis similaires tissés à la main.","Autres, à velours, confectionnés : De laine ou de poils fins"
5702.42.00,"Tapis et autres revêtements de sol en matières textiles, tissés, non touffetés ni floqués, même confectionnés, y compris les tapis dits « Kelim » ou « Kilim », « Schumacks » ou « Soumak », « Karamanie » et tapis similaires tissés à la main.","Autres, à velours, confectionnés : De matières textiles synthétiques ou artificielles"
5702.49.00,"Tapis et autres revêtements de sol en matières textiles, tissés, non touffetés ni floqués, même confectionnés, y compris les tapis dits « Kelim » ou « Kilim », « Schumacks » ou « Soumak », « Karamanie » et tapis similaires tissés à la main.","Autres, à velours, confectionnés : D'autres matières textiles"
5702.50.10,"Tapis et autres revêtements de sol en matières textiles, tissés, non touffetés ni floqués, même confectionnés, y compris les tapis dits « Kelim » ou « Kilim », « Schumacks » ou « Soumak », « Karamanie » et tapis similaires tissés à la main.","Autres, sans velours, non confectionnésEn paille, en chanvre, en filasse de lin ou en jute"
