Tariff Item,Harmonized System (HS) Heading,Indicative Description
8205.20.90,"Hand tools (including glaziers' diamonds), not elsewhere specified or included; blow lamps; vices, clamps and the like, other than accessories for and parts of, machine-tools or water-jet cutting machines; anvils; portable forges; hand or pedal-operated grinding wheels with frameworks.",Hammers and sledge hammersOther
8205.30.00,"Hand tools (including glaziers' diamonds), not elsewhere specified or included; blow lamps; vices, clamps and the like, other than accessories for and parts of, machine-tools or water-jet cutting machines; anvils; portable forges; hand or pedal-operated grinding wheels with frameworks.","Planes, chisels, gouges and similar cutting tools for working wood"
8205.40.00,"Hand tools (including glaziers' diamonds), not elsewhere specified or included; blow lamps; vices, clamps and the like, other than accessories for and parts of, machine-tools or water-jet cutting machines; anvils; portable forges; hand or pedal-operated grinding wheels with frameworks.",Screwdrivers
8205.51.10,"Hand tools (including glaziers' diamonds), not elsewhere specified or included; blow lamps; vices, clamps and the like, other than accessories for and parts of, machine-tools or water-jet cutting machines; anvils; portable forges; hand or pedal-operated grinding wheels with frameworks.",Other hand tools (including glaziers' diamonds): Household toolsPortable butane hair curlers
8205.51.90,"Hand tools (including glaziers' diamonds), not elsewhere specified or included; blow lamps; vices, clamps and the like, other than accessories for and parts of, machine-tools or water-jet cutting machines; anvils; portable forges; hand or pedal-operated grinding wheels with frameworks.",Other hand tools (including glaziers' diamonds): Household toolsOther
8205.59.20,"Hand tools (including glaziers' diamonds), not elsewhere specified or included; blow lamps; vices, clamps and the like, other than accessories for and parts of, machine-tools or water-jet cutting machines; anvils; portable forges; hand or pedal-operated grinding wheels with frameworks.","Other hand tools (including glaziers' diamonds): OtherStapling or tacking guns, and hammer tackers not operated by an independent hammer"
8205.59.90,"Hand tools (including glaziers' diamonds), not elsewhere specified or included; blow lamps; vices, clamps and the like, other than accessories for and parts of, machine-tools or water-jet cutting machines; anvils; portable forges; hand or pedal-operated grinding wheels with frameworks.",Other hand tools (including glaziers' diamonds): OtherOther
8205.60.00,"Hand tools (including glaziers' diamonds), not elsewhere specified or included; blow lamps; vices, clamps and the like, other than accessories for and parts of, machine-tools or water-jet cutting machines; anvils; portable forges; hand or pedal-operated grinding wheels with frameworks.",Blow lamps
8205.70.90,"Hand tools (including glaziers' diamonds), not elsewhere specified or included; blow lamps; vices, clamps and the like, other than accessories for and parts of, machine-tools or water-jet cutting machines; anvils; portable forges; hand or pedal-operated grinding wheels with frameworks.","Vices, clamps and the likeOther"
8206.00.00,"Tools of two or more of the headings 82.02 to 82.05, put up in sets for retail sale.",
8211.10.10,"Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading 82.08, and blades therefor.",Sets of assorted articlesTable cutlery
8211.10.90,"Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading 82.08, and blades therefor.",Sets of assorted articlesOther
8211.91.10,"Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading 82.08, and blades therefor.",Other: Table knives having fixed bladesCarving knives
8211.91.90,"Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading 82.08, and blades therefor.",Other: Table knives having fixed bladesOther
8211.92.00,"Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading 82.08, and blades therefor.",Other: Other knives having fixed blades
8211.93.00,"Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading 82.08, and blades therefor.",Other: Knives having other than fixed blades
8211.94.90,"Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading 82.08, and blades therefor.",Other: BladesOther
8211.95.11,"Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading 82.08, and blades therefor.",Other: Handles of base metalOf table knives having fixed blades: Of carving knives
8212.10.00,Razors and razor blades (including razor blade blanks in strips).,Razors
8212.20.00,Razors and razor blades (including razor blade blanks in strips).,"Safety razor blades, including razor blade blanks in strips"
8212.90.00,Razors and razor blades (including razor blade blanks in strips).,Other parts
8213.00.10,"Scissors, tailors' shears and similar shears, and blades therefor.",Scissors and shears
8213.00.20,"Scissors, tailors' shears and similar shears, and blades therefor.",Blanks
8213.00.30,"Scissors, tailors' shears and similar shears, and blades therefor.",Blades
8214.10.00,"Other articles of cutlery (for example, hair clippers, butchers' or kitchen cleavers, choppers and mincing knives, paper knives); manicure or pedicure sets and instruments (including nail files).","Paper knives, letter openers, erasing knives, pencil sharpeners and blades therefor"
8214.20.00,"Other articles of cutlery (for example, hair clippers, butchers' or kitchen cleavers, choppers and mincing knives, paper knives); manicure or pedicure sets and instruments (including nail files).",Manicure or pedicure sets and instruments (including nail files)
8214.90.90,"Other articles of cutlery (for example, hair clippers, butchers' or kitchen cleavers, choppers and mincing knives, paper knives); manicure or pedicure sets and instruments (including nail files).",OtherOther
8215.10.10,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kitchen or tableware.","Sets of assorted articles containing at least one article plated with precious metalContaining spoons, knives and forks, of a kind used at the table"
8215.10.90,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kitchen or tableware.",Sets of assorted articles containing at least one article plated with precious metalOther
8215.20.10,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kitchen or tableware.","Other sets of assorted articlesContaining spoons, knives and forks, of a kind used at the table"
8215.20.90,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kitchen or tableware.",Other sets of assorted articlesOther
8215.91.10,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kitchen or tableware.","Other: Plated with precious metalSpoons or forks, of a kind used at the table"
8215.91.90,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kitchen or tableware.",Other: Plated with precious metalOther
8215.99.10,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kitchen or tableware.","Other: OtherSpoons or forks, of a kind used at the table"
8215.99.90,"Spoons, forks, ladles, skimmers, cake-servers, fish-knives, butter-knives, sugar tongs and similar kitchen or tableware.",Other: OtherOther
8301.10.00,"Padlocks and locks (key, combination or electrically operated), of base metal; clasps and frames with clasps, incorporating locks, of base metal; keys for any of the foregoing articles, of base metal.",Padlocks
8301.40.90,"Padlocks and locks (key, combination or electrically operated), of base metal; clasps and frames with clasps, incorporating locks, of base metal; keys for any of the foregoing articles, of base metal.",Other locksOther
8301.50.00,"Padlocks and locks (key, combination or electrically operated), of base metal; clasps and frames with clasps, incorporating locks, of base metal; keys for any of the foregoing articles, of base metal.","Clasps and frames with clasps, incorporating locks"
8302.50.00,"Base metal mountings, fittings and similar articles suitable for furniture, doors, staircases, windows, blinds, coachwork, saddlery, trunks, chests, caskets or the like; base metal hat-racks, hat-pegs, brackets and similar fixtures; castors with mountings of base metal; automatic door closers of base metal.","Hat-racks, hat-pegs, brackets and similar fixtures"
8414.51.10,"Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters; gas-tight biological safety cabinets, whether or not fitted with filters.","Fans: Table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an output not exceeding 125 WPersonal fans, mains powered; Table fans, single or variable speed, oscillating"
8414.51.90,"Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters; gas-tight biological safety cabinets, whether or not fitted with filters.","Fans: Table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an output not exceeding 125 WOther"
8418.10.10,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Combined refrigerator-freezers, fitted with separate external doors or drawers, or combinations thereofAbsorption-type, combination gas and electric powered, designed for permanent installation in recreational vehicles and for use in the manufacture of such vehicles"
8418.10.20,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Combined refrigerator-freezers, fitted with separate external doors or drawers, or combinations thereofRefrigerating-freezing type"
8418.10.90,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Combined refrigerator-freezers, fitted with separate external doors or drawers, or combinations thereofOther"
8418.21.00,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Refrigerators, household type: Compression-type"
8418.29.00,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Refrigerators, household type: Other"
8418.30.10,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Freezers of the chest type, not exceeding 800 litres capacityHousehold type"
8418.30.90,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Freezers of the chest type, not exceeding 800 litres capacityOther"
8418.40.10,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Freezers of the upright type, not exceeding 900 litres capacityBlood bank type; Household type; With minimum temperature capability to -85°C at 30°C ambient"
8418.40.90,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Freezers of the upright type, not exceeding 900 litres capacityOther"
8418.50.10,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Other furniture (chests, cabinets, display counters, showcases and the like) for storage and display, incorporating refrigerating or freezing equipmentRefrigerating or refrigerating-freezing type"
8418.69.90,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.",Other refrigerating or freezing equipment; heat pumps: OtherOther
8419.81.00,"Machinery, plant or laboratory equipment, whether or not electrically heated (excluding furnaces, ovens and other equipment of heading 85.14), for the treatment of materials by a process involving a change of temperature such as heating, cooking, roasting, distilling, rectifying, sterilizing, pasteurizing, steaming, drying, evaporating, vaporizing, condensing or cooling, other than machinery or plant of a kind used for domestic purposes; instantaneous or storage water heaters, non-electric.","Other machinery, plant and equipment: For making hot drinks or for cooking or heating food"
8422.11.10,"Dish washing machines; machinery for cleaning or drying bottles or other containers; machinery for filling, closing, sealing, or labelling bottles, cans, boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and similar containers; other packing or wrapping machinery (including heat-shrink wrapping machinery); machinery for aerating beverages.","Dish washing machines: Of the household typeCounter-top, electric; Portable, of a width not exceeding 46 cm"
8422.11.90,"Dish washing machines; machinery for cleaning or drying bottles or other containers; machinery for filling, closing, sealing, or labelling bottles, cans, boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and similar containers; other packing or wrapping machinery (including heat-shrink wrapping machinery); machinery for aerating beverages.",Dish washing machines: Of the household typeOther
8430.20.00,"Other moving, grading, levelling, scraping, excavating, tamping, compacting, extracting or boring machinery, for earth, minerals or ores; pile-drivers and pile-extractors; snow-ploughs and snow-blowers.",Snow-ploughs and snow-blowers
8433.11.00,"Harvesting or threshing machinery, including straw or fodder balers; grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading 84.37.","Mowers for lawns, parks or sports-grounds: Powered, with the cutting device rotating in a horizontal plane"
8433.19.00,"Harvesting or threshing machinery, including straw or fodder balers; grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading 84.37.","Mowers for lawns, parks or sports-grounds: Other"
8433.20.00,"Harvesting or threshing machinery, including straw or fodder balers; grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading 84.37.","Other mowers, including cutter bars for tractor mounting"
8450.11.10,"Household or laundry-type washing machines, including machines which both wash and dry.","Machines, each of a dry linen capacity not exceeding 10 kg: Fully-automatic machinesHousehold type, not including machines which both wash and dry"
8450.11.90,"Household or laundry-type washing machines, including machines which both wash and dry.","Machines, each of a dry linen capacity not exceeding 10 kg: Fully-automatic machinesOther"
8450.12.00,"Household or laundry-type washing machines, including machines which both wash and dry.","Machines, each of a dry linen capacity not exceeding 10 kg: Other machines, with built-in centrifugal dryer"
8450.19.00,"Household or laundry-type washing machines, including machines which both wash and dry.","Machines, each of a dry linen capacity not exceeding 10 kg: Other"
8450.20.00,"Household or laundry-type washing machines, including machines which both wash and dry.","Machines, each of a dry linen capacity exceeding 10 kg"
8451.21.00,"Machinery (other than machines of heading 84.50) for washing, cleaning, wringing, drying, ironing, pressing (including fusing presses), bleaching, dyeing, dressing, finishing, coating or impregnating textile yarns, fabrics or made up textile articles and machines for applying the paste to the base fabric or other support used in the manufacture of floor coverings such as linoleum; machines for reeling, unreeling, folding, cutting or pinking textile fabrics.",Drying machines: Each of a dry linen capacity not exceeding 10 kg
8451.29.00,"Machinery (other than machines of heading 84.50) for washing, cleaning, wringing, drying, ironing, pressing (including fusing presses), bleaching, dyeing, dressing, finishing, coating or impregnating textile yarns, fabrics or made up textile articles and machines for applying the paste to the base fabric or other support used in the manufacture of floor coverings such as linoleum; machines for reeling, unreeling, folding, cutting or pinking textile fabrics.",Drying machines: Other
8467.11.00,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",Pneumatic: Rotary type (including combined rotary-percussion)
8467.19.00,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",Pneumatic: Other
8467.21.00,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",With self-contained electric motor: Drills of all kinds
8467.22.00,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",With self-contained electric motor: Saws
8467.29.00,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",With self-contained electric motor: Other
8467.81.00,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",Other tools: Chain saws
8467.89.00,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",Other tools: Other
8508.11.00,Vacuum cleaners.,"With self-contained electric motor: Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 litres"
8508.19.00,Vacuum cleaners.,With self-contained electric motor: Other
8508.60.00,Vacuum cleaners.,Other vacuum cleaners
8509.40.10,"Electro-mechanical domestic appliances, with self-contained electric motor, other than vacuum cleaners of heading 85.08.",Food grinders and mixers; fruit or vegetable juice extractorsGrape crushers for domestic purposes
8509.40.90,"Electro-mechanical domestic appliances, with self-contained electric motor, other than vacuum cleaners of heading 85.08.",Food grinders and mixers; fruit or vegetable juice extractorsOther
8509.80.10,"Electro-mechanical domestic appliances, with self-contained electric motor, other than vacuum cleaners of heading 85.08.",Other appliancesUltrasonic vaporizers
8509.80.90,"Electro-mechanical domestic appliances, with self-contained electric motor, other than vacuum cleaners of heading 85.08.",Other appliancesOther
8510.10.00,"Shavers, hair clippers and hair-removing appliances, with self-contained electric motor.",Shavers
8510.20.10,"Shavers, hair clippers and hair-removing appliances, with self-contained electric motor.","Hair clippersFor cutting pet hair; Alternating current-powered, for cutting human hair"
8510.20.90,"Shavers, hair clippers and hair-removing appliances, with self-contained electric motor.",Hair clippersOther
8510.30.00,"Shavers, hair clippers and hair-removing appliances, with self-contained electric motor.",Hair-removing appliances
8516.31.00,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electro-thermic hair-dressing or hand-drying apparatus: Hair dryers
8516.32.10,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electro-thermic hair-dressing or hand-drying apparatus: Other hair-dressing apparatusCurling irons
8516.32.90,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electro-thermic hair-dressing or hand-drying apparatus: Other hair-dressing apparatusOther
8516.33.10,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electro-thermic hair-dressing or hand-drying apparatus: Hand-drying apparatusWall mounted
8516.40.00,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electric smoothing irons
8516.50.00,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Microwave ovens
8516.60.10,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.","Other ovens; cookers, cooking plates, boiling rings, grillers and roastersBread makers; Indoor smokeless barbecues; Rice cookers"
8516.60.20,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.","Other ovens; cookers, cooking plates, boiling rings, grillers and roastersOvens, cooking stoves and ranges"
8516.60.90,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.","Other ovens; cookers, cooking plates, boiling rings, grillers and roastersOther"
8516.71.10,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Other electro-thermic appliances: Coffee or tea makersCoffee makers
8516.71.20,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Other electro-thermic appliances: Coffee or tea makersTea makers
8516.72.10,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Other electro-thermic appliances: ToastersAutomatic
8516.72.90,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Other electro-thermic appliances: ToastersOther
8516.79.10,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Other electro-thermic appliances: OtherFabric steamers
8516.79.90,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Other electro-thermic appliances: OtherOther
8516.80.00,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electric heating resistors
8543.40.00,"Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter.",Electronic cigarettes and similar personal electric vaporising devices
8711.10.00,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",With internal combustion piston engine of a cylinder capacity not exceeding 50 cc
8711.20.00,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",With internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc
8711.30.00,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",With internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc
8711.40.00,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",With internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc
8711.50.00,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",With internal combustion piston engine of a cylinder capacity exceeding 800 cc
8711.60.00,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",With electric motor for propulsion
8711.90.00,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",Other
8806.10.00,Unmanned aircraft.,Designed for the carriage of passengers
8806.21.00,Unmanned aircraft.,"Other, for remote-controlled flight only: With maximum take-off weight not more than 250 g"
8806.22.00,Unmanned aircraft.,"Other, for remote-controlled flight only: With maximum take-off weight more than 250 g but not more than 7 kg"
8806.23.00,Unmanned aircraft.,"Other, for remote-controlled flight only: With maximum take-off weight more than 7 kg but not more than 25 kg"
8806.24.00,Unmanned aircraft.,"Other, for remote-controlled flight only: With maximum take-off weight more than 25 kg but not more than 150 kg"
8806.29.00,Unmanned aircraft.,"Other, for remote-controlled flight only: Other"
8806.91.00,Unmanned aircraft.,Other: With maximum take-off weight not more than 250 g
8806.92.00,Unmanned aircraft.,Other: With maximum take-off weight more than 250 g but not more than 7 kg
8806.93.00,Unmanned aircraft.,Other: With maximum take-off weight more than 7 kg but not more than 25 kg
8806.94.00,Unmanned aircraft.,Other: With maximum take-off weight more than 25 kg but not more than 150 kg
8806.99.00,Unmanned aircraft.,Other: Other
9302.00.00,"Revolvers and pistols, other than those of heading 93.03 or 93.04.",
9303.10.00,"Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).",Muzzle-loading firearms
9303.20.10,"Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).","Other sporting, hunting or target-shooting shotguns, including combination shotgun-riflesPump or slide-action shotguns"
9303.20.90,"Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).","Other sporting, hunting or target-shooting shotguns, including combination shotgun-riflesOther"
9303.30.10,"Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).","Other sporting, hunting or target-shooting riflesBolt-action or semi-automatic .22 calibre rimfire rifles, excluding target shooting rifles"
9303.30.90,"Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).","Other sporting, hunting or target-shooting riflesOther"
9303.90.10,"Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).",OtherApparatus for the destruction of predatory animals by the discharge of poisonous cartridges; Automatic explosive bird-scaring devices
9303.90.90,"Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).",OtherOther
9304.00.10,"Other arms (for example, spring, air or gas guns and pistols, truncheons), excluding those of heading 93.07.","Guns and pistols, spring or gas"
9304.00.90,"Other arms (for example, spring, air or gas guns and pistols, truncheons), excluding those of heading 93.07.",Other
9306.21.00,"Bombs, grenades, torpedoes, mines, missiles and similar munitions of war and parts thereof; cartridges and other ammunition and projectiles and parts thereof, including shot and cartridge wads.",Shotgun cartridges and parts thereof; air gun pellets: Cartridges
9306.29.00,"Bombs, grenades, torpedoes, mines, missiles and similar munitions of war and parts thereof; cartridges and other ammunition and projectiles and parts thereof, including shot and cartridge wads.",Shotgun cartridges and parts thereof; air gun pellets: Other
9306.30.10,"Bombs, grenades, torpedoes, mines, missiles and similar munitions of war and parts thereof; cartridges and other ammunition and projectiles and parts thereof, including shot and cartridge wads.","Other cartridges and parts thereofPoisonous cartridges for apparatus for the destruction of predatory animals; Starter cartridges and parts thereof, for diesel or semi-diesel engines; Twin-shot cartridges designed for bird-scaring devices"
9306.30.90,"Bombs, grenades, torpedoes, mines, missiles and similar munitions of war and parts thereof; cartridges and other ammunition and projectiles and parts thereof, including shot and cartridge wads.",Other cartridges and parts thereofOther
9401.31.10,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.",Swivel seats with variable height adjustment: Of woodFor domestic purposes
9401.31.90,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.",Swivel seats with variable height adjustment: Of woodOther
9401.39.10,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.",Swivel seats with variable height adjustment: OtherFor domestic purposes
9401.39.90,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.",Swivel seats with variable height adjustment: OtherOther
9401.41.00,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Seats other than garden seats or camping equipment, convertible into beds: Of wood"
9401.49.00,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Seats other than garden seats or camping equipment, convertible into beds: Other"
9401.52.10,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Seats of cane, osier, bamboo or similar materials: Of bambooUnfinished and unassembled, for use in the manufacture of furniture of bamboo"
9401.52.90,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Seats of cane, osier, bamboo or similar materials: Of bambooOther"
9401.53.10,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Seats of cane, osier, bamboo or similar materials: Of rattanUnfinished and unassembled, for use in the manufacture of furniture of rattan"
9401.53.90,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Seats of cane, osier, bamboo or similar materials: Of rattanOther"
